asin,price,sales_rank,brand,cat_lvl2,cat_leaf,popularity,rating_mean,last_train_time,price_pct,quality_pct,popularity_pct,rating_pct,recency_pct
B00004OCIX,4.39,82098.0,OXO,Kitchen & Dining,Ice-Cream Scoops,8.0,4.625,1321488000.0,0.9688579782050146,0.17462567555594932,0.9572517055019049,0.23575795162576416,0.2738991760432356
B00004OCIY,10.61,20483.0,OXO,Kitchen & Dining,Ladles,2.0,4.5,1400025600.0,0.7548507132098875,0.4517586604057765,0.66310800035439,0.1886240808009214,0.9589350580313635
B00004OCIZ,4.99,784.0,OXO,Kitchen & Dining,Ladles,9.0,4.777777777777778,1396656000.0,0.9526003366705059,0.9425445202445291,0.965446974395322,0.30628156285992736,0.9347036413573138
B00004OCJ6,10.99,3645.0,OXO,Kitchen & Dining,Bread Knives,2.0,5.0,1400630400.0,0.7420926729866217,0.7948967839106937,0.66310800035439,0.6724550367679631,0.9662000531585009
B00004OCJ7,12.99,21683.0,OXO,Kitchen & Dining,Chef's Knives,1.0,5.0,1048377600.0,0.678834056879596,0.4366084876406485,0.33932843093824755,0.6724550367679631,0.10786745813768052
B00004OCJ9,11.9,12838.0,OXO,Kitchen & Dining,Spreaders,2.0,5.0,1386633600.0,0.7201204926021086,0.5611765748205901,0.66310800035439,0.6724550367679631,0.7980862939665101
B00004OCJG,11.99,48445.0,OXO,Kitchen & Dining,Peelers,2.0,5.0,988588800.0,0.7119695224594667,0.2680960396916807,0.66310800035439,0.6724550367679631,0.10560822184814388
B00004OCJJ,14.99,2797.0,OXO,Kitchen & Dining,Tenderizers,4.0,4.5,1365206400.0,0.6161956232834234,0.8334366970851422,0.8615221050766368,0.1886240808009214,0.5466465845663152
B00004OCJK,11.99,2012.0,OXO,Kitchen & Dining,Potato Mashers,5.0,4.8,1386028800.0,0.7119695224594667,0.8720652077611412,0.9007707982634889,0.31394524674404184,0.7852839549924692
B00004OCJM,6.0,5602.0,OXO,Kitchen & Dining,Ladles,1.0,5.0,1299196800.0,0.9205280411092407,0.7262780189598653,0.33932843093824755,0.6724550367679631,0.22299991140249845
B00004OCJN,12.8,1490.0,OXO,Kitchen & Dining,Pizza Cutters,4.0,5.0,1303689600.0,0.6914149020997609,0.8985115619739523,0.8615221050766368,0.6724550367679631,0.23070789403738814
B00004OCJO,7.99,1303.0,OXO,Kitchen & Dining,Zesters & Reamers,5.0,5.0,1384128000.0,0.8481438823425179,0.9090103659076814,0.9007707982634889,0.6724550367679631,0.7559581819792682
B00004OCJQ,24.99,1551.0,OXO,Kitchen & Dining,Potato Ricers,13.0,4.6923076923076925,1370563200.0,0.41073801718791525,0.8951005581642597,0.9839638522193674,0.2764685035881988,0.6072029768760521
B00004OCJW,9.24,9354.0,OXO,Kitchen & Dining,Can Openers,3.0,4.666666666666667,1228435200.0,0.8071675378754319,0.6262514397094001,0.7946309914060423,0.2566226632408966,0.14087002746522548
B00004OCK0,7.2,2694.0,OXO,Kitchen & Dining,Tongs,14.0,4.928571428571429,1401235200.0,0.8792859041375033,0.8386196509258439,0.9868432710197572,0.34380260476654556,0.9736422432887393
B00004OCK3,6.99,61970.0,OXO,Kitchen & Dining,Storage & Organization,5.0,5.0,1155427200.0,0.8874811730309206,0.2180384513156729,0.9007707982634889,0.6724550367679631,0.11898644458226278
B00004OCKG,16.96,12849.0,OXO,Kitchen & Dining,Ladles,3.0,5.0,1386806400.0,0.5710108974926906,0.5609107823159387,0.7946309914060423,0.6724550367679631,0.8012758040223266
B00004OCKO,11.32,35369.0,OXO,Kitchen & Dining,Corkscrews & Openers,4.0,4.5,1316649600.0,0.7329671303269247,0.336493310888633,0.8615221050766368,0.1886240808009214,0.2583946132719057
B00004OCKR,29.95,224.0,OXO,Kitchen & Dining,Spinners,35.0,4.885714285714286,1395532800.0,0.3583325950208204,0.9806857446620005,0.9993798174891468,0.33835385842119253,0.9204837423584655
B00004OCKT,10.56,3554.0,OXO,Kitchen & Dining,Corers,6.0,4.333333333333333,1377734400.0,0.7556037919730664,0.7997696464959688,0.9267298662177726,0.14197749623460618,0.680960396916807
B00004OCL2,4.99,662.0,OXO,Kitchen & Dining,Cleaning Brushes,21.0,4.809523809523809,1393545600.0,0.9526003366705059,0.950695490387171,0.9952600336670506,0.3204128643572251,0.8950562594134845
B00004OCL8,7.99,5641.0,OXO,Kitchen & Dining,Spatulas,6.0,4.833333333333333,1386028800.0,0.8481438823425179,0.7245503676796314,0.9267298662177726,0.3258616107025782,0.7852839549924692
B00004OCL9,12.95,3884.0,OXO,Kitchen & Dining,Potato Mashers,5.0,5.0,1396483200.0,0.6868964295206875,0.784840967484717,0.9007707982634889,0.6724550367679631,0.9322672100646762
B00004OCLA,7.51,521.0,OXO,Kitchen & Dining,Ice Cube Molds & Trays,2.0,4.5,1397347200.0,0.8684770089483477,0.9599539292991938,0.66310800035439,0.1886240808009214,0.9394879064410384
B00004OCLC,8.99,3771.0,OXO,Kitchen & Dining,Seafood Tools,1.0,5.0,1397606400.0,0.8158500930273767,0.7899353238238682,0.33932843093824755,0.6724550367679631,0.9428989102507309
B00004OCLF,16.98,109626.0,OXO,Kitchen & Dining,Seafood Tools,1.0,4.0,1331337600.0,0.5700363249756357,0.1292637547621157,0.33932843093824755,0.06374590236555329,0.31478692300877115
B00004OCLH,22.99,21347.0,OXO,Bath,Toilet Brushes & Holders,1.0,5.0,1329091200.0,0.4468857978205014,0.44077257021352,0.33932843093824755,0.6724550367679631,0.3069460441215558
B00004OCLK,5.99,1845.0,OXO,Kitchen & Dining,Ladles,4.0,4.5,1377302400.0,0.9236289536635067,0.8795073978913794,0.8615221050766368,0.1886240808009214,0.6748471693098255
B00004OCLW,15.22,4860.0,OXO,Kitchen & Dining,Food Strainers,16.0,4.875,1401494400.0,0.6047665455834146,0.7506423318862407,0.9910073535926287,0.33649331088863293,0.9751041020643217
B00004OCM4,8.99,771.0,OXO,Kitchen & Dining,Ladles,7.0,4.857142857142857,1394668800.0,0.8158500930273767,0.9434304952600336,0.9450695490387171,0.3326393195711881,0.9119340834588464
B00004OCM5,16.5,41920.0,OXO,Kitchen & Dining,Peelers,1.0,5.0,1346976000.0,0.5803136351554886,0.2982191902188358,0.33932843093824755,0.6724550367679631,0.378444227872774
B00004OCM9,11.0,11768.0,OXO,Kitchen & Dining,Ice-Cream Scoops,3.0,5.0,1353110400.0,0.7388588641800301,0.5800478426508373,0.7946309914060423,0.6724550367679631,0.4140161247452822
B00004OCMB,12.99,592.0,OXO,Kitchen & Dining,"Cake, Pie & Pastry Servers",4.0,5.0,1358899200.0,0.678834056879596,0.9554354567201205,0.8615221050766368,0.6724550367679631,0.47979976964649595
B00004OCME,9.95,30586.0,OXO,Kitchen & Dining,Spoons,2.0,5.0,1388620800.0,0.7864800212634003,0.36581908390183393,0.66310800035439,0.6724550367679631,0.828342340745991
B00004OCMH,17.99,17790.0,OXO,Kitchen & Dining,Potato Mashers,1.0,5.0,1278892800.0,0.5461149995570125,0.483299370957739,0.33932843093824755,0.6724550367679631,0.19101621334278374
B00004OCMJ,12.99,96024.0,OXO,Kitchen & Dining,Graters,1.0,5.0,1142294400.0,0.678834056879596,0.1486666076016656,0.33932843093824755,0.6724550367679631,0.11668290954195092
B00004OCMM,18.95,1128.0,OXO,Kitchen & Dining,Cooking Utensils,21.0,4.904761904761905,1385078400.0,0.529901656773279,0.9203508461061398,0.9952600336670506,0.34154336847700895,0.7714184459998228
B00004OCMN,13.99,49817.0,OXO,Kitchen & Dining,Ladles,2.0,5.0,1283212800.0,0.6501727651280234,0.26207140958624964,0.66310800035439,0.6724550367679631,0.1953574909187561
B00004OCMP,10.99,10924.0,OXO,Kitchen & Dining,Spatulas,1.0,5.0,1104364800.0,0.7420926729866217,0.595552405422167,0.33932843093824755,0.6724550367679631,0.1116328519535749
B00004OCMS,10.99,42948.0,OXO,Kitchen & Dining,Meat & Carving Forks,6.0,4.833333333333333,1401148800.0,0.7420926729866217,0.29387791264286345,0.9267298662177726,0.3258616107025782,0.97280056702401
B00004OCMT,12.99,26277.0,OXO,Kitchen & Dining,Ladles,3.0,5.0,1388620800.0,0.678834056879596,0.39620802693364043,0.7946309914060423,0.6724550367679631,0.828342340745991
B00004OCMU,14.99,27074.0,OXO,Kitchen & Dining,Skimmers,1.0,5.0,1358812800.0,0.6161956232834234,0.3902719943297599,0.33932843093824755,0.6724550367679631,0.47886949588021616
B00004OCMW,12.99,6331.0,OXO,Kitchen & Dining,Ladles,3.0,4.666666666666667,1384300800.0,0.678834056879596,0.7031540710551962,0.7946309914060423,0.2566226632408966,0.7579516257641534
B00004OCMX,10.61,7381.0,OXO,Kitchen & Dining,Spatulas,2.0,5.0,1365984000.0,0.7548507132098875,0.6754673518206786,0.66310800035439,0.6724550367679631,0.5570567909984938
B00004OCMY,10.87,34352.0,OXO,Kitchen & Dining,Mixing Bowls,7.0,4.714285714285714,1394323200.0,0.7505980331354656,0.3418977584832108,0.9450695490387171,0.27996810489944185,0.9065739346150439
B00004OCN3,49.95,33689.0,OXO,Kitchen & Dining,Teakettles,1.0,5.0,1059955200.0,0.22685390271994332,0.3458846460529813,0.33932843093824755,0.6724550367679631,0.10884203065473554
B00004OCNE,9.99,100142.0,OXO,Kitchen & Dining,Spatulas,11.0,4.7272727272727275,1401494400.0,0.7740763710463365,0.14175600248073006,0.9774076371046336,0.2825817311951803,0.9751041020643217
B00004OCNJ,11.91,259.0,OXO,Kitchen & Dining,Baking & Pastry Utensils,30.0,4.8,1395187200.0,0.7196775050943564,0.9777177283600602,0.9987153362275184,0.31394524674404184,0.9170284397979976
B00004OCNK,8.99,90183.0,OXO,Kitchen & Dining,Dough Blenders,4.0,4.5,1340755200.0,0.8158500930273767,0.15965269779392222,0.8615221050766368,0.1886240808009214,0.34752369983166476
B00004OCNL,12.95,16997.0,OXO,Kitchen & Dining,Sifters,4.0,4.5,1356652800.0,0.6868964295206875,0.4917604323558076,0.8615221050766368,0.1886240808009214,0.4505625941348454
B00004OCNM,9.95,4513.0,OXO,Kitchen & Dining,Icing & Decorating Spatulas,3.0,4.333333333333333,1395964800.0,0.7864800212634003,0.7604766545583415,0.7946309914060423,0.14197749623460618,0.9236732524142819
B00004OCNQ,10.36,4082.0,OXO,Kitchen & Dining,Whisks,10.0,4.8,1386288000.0,0.7595906795428369,0.777886063613006,0.9718702932577301,0.31394524674404184,0.791840170107203
B00004OCNS,8.33,442.0,OXO,Kitchen & Dining,Whisks,12.0,4.916666666666667,1389484800.0,0.8376007796580136,0.9650039868875697,0.9810844334189776,0.3427837334987153,0.841543368477009
B00004OCNT,7.95,2578.0,OXO,Kitchen & Dining,Whisks,4.0,4.75,1387497600.0,0.8553645787188802,0.8453973597944537,0.8615221050766368,0.2939222113936387,0.8115088154514043
B00004OCNU,8.79,3178.0,OXO,Kitchen & Dining,Whisks,9.0,4.777777777777778,1386028800.0,0.8267032869673075,0.8177992380614867,0.965446974395322,0.30628156285992736,0.7852839549924692
B00004OCO4,8.02,2251.0,OXO,Kitchen & Dining,Spoons,13.0,4.461538461538462,1377302400.0,0.8430495260033667,0.8599273500487287,0.9839638522193674,0.15407105519624348,0.6748471693098255
B00004OCO6,11.35,1544.0,OXO,Kitchen & Dining,Cups,13.0,4.615384615384615,1386028800.0,0.732834234074599,0.8953663506689111,0.9839638522193674,0.23465048285638346,0.7852839549924692
B00004OCO8,5.0,757.0,OXO,Kitchen & Dining,Spoons,10.0,4.8,1396224000.0,0.9505182953840702,0.9439620802693364,0.9718702932577301,0.31394524674404184,0.9272614512270754
B00004OCO9,14.96,2134.0,OXO,Kitchen & Dining,Cups,98.0,4.724489795918367,1396224000.0,0.624656684681492,0.8646230176309028,1.0,0.2820944449366528,0.9272614512270754
B00004OCOB,7.99,140415.0,OXO,Kitchen & Dining,Spatulas,5.0,4.8,1336176000.0,0.8481438823425179,0.09754584920705234,0.9007707982634889,0.31394524674404184,0.3306015770355276
B00004OCOK,10.99,61852.0,Unknown,Kitchen & Dining,"Cake, Pie & Pastry Servers",2.0,5.0,1365897600.0,0.7420926729866217,0.21839284132187475,0.66310800035439,0.6724550367679631,0.5553734384690352
B00004OCOM,10.99,66991.0,Unknown,Kitchen & Dining,Spatulas,2.0,5.0,1339113600.0,0.7420926729866217,0.20536900859395768,0.66310800035439,0.6724550367679631,0.3417205634801099
B00004OCOP,10.04,3184.0,OXO,Kitchen & Dining,Spatulas,4.0,4.75,1370649600.0,0.764862230885089,0.8175777443076105,0.8615221050766368,0.2939222113936387,0.6079560556392309
B00004OCOQ,10.49,28759.0,OXO,Kitchen & Dining,Spoons,2.0,5.0,1269734400.0,0.7575972357579517,0.37751395410649424,0.66310800035439,0.6724550367679631,0.1809160981660317
B00004OCOR,13.67,19696.0,OXO,Kitchen & Dining,Spoons,1.0,5.0,1202256000.0,0.6622220253388855,0.4592008505360149,0.33932843093824755,0.6724550367679631,0.12917515726056525
B00004OCOT,10.35,14725.0,OXO,Kitchen & Dining,Ladles,1.0,5.0,1401926400.0,0.7598564720474883,0.5283954992469213,0.33932843093824755,0.6724550367679631,0.9786923008771152
B00004OCOU,9.99,4479.0,OXO,Kitchen & Dining,Skimmers,2.0,5.0,1386633600.0,0.7740763710463365,0.7622043058385753,0.66310800035439,0.6724550367679631,0.7980862939665101
B00004R8ZD,19.95,25405.0,Kuhn Rikon,Kitchen & Dining,Can Openers,3.0,4.666666666666667,1361923200.0,0.5050500575883761,0.4043589970762824,0.7946309914060423,0.2566226632408966,0.5104102064321786
B00004R8ZE,179.7,25834.0,Kuhn Rikon,Kitchen & Dining,Pressure Cookers,4.0,5.0,1383523200.0,0.05147514840081513,0.4002835120049615,0.8615221050766368,0.6724550367679631,0.7487817843536813
B00004R8ZL,9.8,69773.0,Best Manufacturers,Kitchen & Dining,Whisks,0.0,5.0,970531200.0,0.79418800389829,0.2007619385133339,0.05236112341631966,0.6724550367679631,0.05240542216709489
B00004R8ZO,12.95,9119.0,Best Manufacturers,Kitchen & Dining,Whisks,1.0,4.0,1368316800.0,0.6868964295206875,0.6311686010454505,0.33932843093824755,0.06374590236555329,0.5841233277221582
B00004R8ZP,13.07,50130.0,Best,Kitchen & Dining,Whisks,1.0,5.0,979171200.0,0.6722778417648623,0.26065384956144233,0.33932843093824755,0.6724550367679631,0.10525383184194206
B00004R8ZT,7.95,223177.0,Best Manufacturers,Kitchen & Dining,Whisks,3.0,4.666666666666667,1389657600.0,0.8553645787188802,0.058119961017099264,0.7946309914060423,0.2566226632408966,0.8438026047665456
B00004R90X,13.05,8460.0,CHICAGO METALLIC,Kitchen & Dining,Bakeware,1.0,4.0,1320105600.0,0.6724993355187383,0.6476477363338353,0.33932843093824755,0.06374590236555329,0.26858332595020823
B00004R90Y,9.12,5216.0,CHICAGO METALLIC,Kitchen & Dining,Small Pastry Molds,4.0,5.0,1361923200.0,0.8084522016479135,0.7381057854168512,0.8615221050766368,0.6724550367679631,0.5104102064321786
B00004R911,21.95,9736.0,CHICAGO METALLIC,Kitchen & Dining,Popover Pans,3.0,5.0,1318982400.0,0.46270045184725794,0.6187649508283866,0.7946309914060423,0.6724550367679631,0.2633560733587313
B00004R916,16.99,114589.0,CHICAGO METALLIC,Kitchen & Dining,Round,3.0,4.666666666666667,1365206400.0,0.566581022415168,0.12253034464428103,0.7946309914060423,0.2566226632408966,0.5466465845663152
B00004R91A,15.95,184015.0,Unknown,Kitchen & Dining,Loaf Pans,1.0,5.0,1325548800.0,0.5945778329051121,0.07158678125276863,0.33932843093824755,0.6724550367679631,0.28975812882076724
B00004R91F,16.37,271114.0,Unknown,Kitchen & Dining,Muffin & Cupcake Pans,1.0,5.0,1061510400.0,0.5826171701958005,0.047311065827943644,0.33932843093824755,0.6724550367679631,0.10906352440861168
B00004R91I,21.99,45870.0,CHICAGO METALLIC,Kitchen & Dining,French Bread & Baguette Pans,7.0,4.714285714285714,1294185600.0,0.45995392929919376,0.27987950739789136,0.9450695490387171,0.27996810489944185,0.21289979622574642
B00004R91J,14.25,117442.0,Unknown,Kitchen & Dining,Loaf Pans,3.0,5.0,1228176000.0,0.6431292637547621,0.11907504208381325,0.7946309914060423,0.6724550367679631,0.14033844245592275
B00004R91K,9.99,151962.0,Unknown,Kitchen & Dining,Baking & Cookie Sheets,3.0,4.666666666666667,1175558400.0,0.7740763710463365,0.08921768406130948,0.7946309914060423,0.2566226632408966,0.12301763090280854
B00004R91M,16.99,127792.0,Unknown,Kitchen & Dining,Jelly-Roll Pans,2.0,5.0,1250035200.0,0.566581022415168,0.10782315938690534,0.66310800035439,0.6724550367679631,0.1582351377691149
B00004R91R,9.78,169313.0,Unknown,Kitchen & Dining,Pie Pans,2.0,5.0,1324944000.0,0.7952954726676708,0.07947195889075931,0.66310800035439,0.6724550367679631,0.28674581376805175
B00004R91X,13.97,291345.0,CHICAGO METALLIC,Kitchen & Dining,Square & Rectangular,1.0,4.0,1200614400.0,0.6536723664392664,0.04261539824576943,0.33932843093824755,0.06374590236555329,0.12899796225746435
B00004R92L,12.39,12968.0,Frieling,Kitchen & Dining,Cups,8.0,4.625,1370736000.0,0.7013378222734119,0.5587844422787278,0.9572517055019049,0.23575795162576416,0.6085762381500842
B00004R92T,27.34,72907.0,Frieling,Kitchen & Dining,French Bread & Baguette Pans,2.0,4.5,1381881600.0,0.38522193674138394,0.19287676087534333,0.66310800035439,0.1886240808009214,0.7289802427571542
B00004R93Z,59.89,97232.0,George Foreman,Kitchen & Dining,Contact Grills,9.0,4.555555555555555,1130371200.0,0.1949145034110038,0.14609728005670242,0.965446974395322,0.22428457517498007,0.11495525826171701
B00004R946,59.99,14776.0,Farberware,Kitchen & Dining,Electric Coffee Percolators,2.0,4.0,1353110400.0,0.18835828829627,0.5275095242314167,0.66310800035439,0.06374590236555329,0.4140161247452822
B00004RBTB,10.42,169099.0,Amco,Kitchen & Dining,Sifters,1.0,5.0,1203120000.0,0.7586604057765571,0.07964915389386018,0.33932843093824755,0.6724550367679631,0.12983963852219368
B00004RBTG,6.73,140958.0,Amco,Kitchen & Dining,Colanders,2.0,4.5,1262390400.0,0.9012580845220165,0.09728005670240103,0.66310800035439,0.1886240808009214,0.1717905555063347
B00004RBTL,6.49,26190.0,Joyce Chen,Kitchen & Dining,Cookware Accessories,1.0,4.0,1184371200.0,0.907770000885975,0.39673961194294316,0.33932843093824755,0.06374590236555329,0.12518826969079472
B00004RC45,26.83,10931.0,Kaiser,Kitchen & Dining,Springform,2.0,5.0,1260662400.0,0.3915566581022415,0.5952866129175157,0.66310800035439,0.6724550367679631,0.16895543545672012
B00004RC47,23.49,106209.0,Kaiser,Kitchen & Dining,Springform,1.0,5.0,1298246400.0,0.4406396739611943,0.1334278373349872,0.33932843093824755,0.6724550367679631,0.22109506511916363
B00004RC6R,41.63,362.0,West Bend,Kitchen & Dining,Popcorn Poppers,11.0,4.7272727272727275,1387411200.0,0.25932488703818557,0.9708514219898999,0.9774076371046336,0.2825817311951803,0.8097811641711704
B00004RC6S,138.74,1861.0,West Bend,Kitchen & Dining,Coffee Urns,1.0,5.0,1262131200.0,0.07849738637370429,0.8791973066359529,0.33932843093824755,0.6724550367679631,0.1715690617524586
B00004RDCY,9.99,27800.0,Unknown,Kitchen & Dining,Ladles,1.0,5.0,1383523200.0,0.7740763710463365,0.38504474173828296,0.33932843093824755,0.6724550367679631,0.7487817843536813
B00004RDD1,15.47,84786.0,Progressive International,Kitchen & Dining,Graters,2.0,5.0,1299110400.0,0.6022415167892265,0.1699300079737751,0.66310800035439,0.6724550367679631,0.22268982014707187
B00004RDD4,9.53,57396.0,Progressive International,Kitchen & Dining,Mandolines & Slicers,2.0,5.0,1323388800.0,0.7998139452467441,0.23265703907149815,0.66310800035439,0.6724550367679631,0.2797023123947905
B00004RDDN,5.75,4288.0,Zak Designs,Kitchen & Dining,Garlic Peelers,6.0,4.666666666666667,1383350400.0,0.9327101975724285,0.7692921059626119,0.9267298662177726,0.2566226632408966,0.7453707805439886
B00004RDDR,5.99,23376.0,Norpro,Kitchen & Dining,Kitchen Utensils & Gadgets,2.0,5.0,1368316800.0,0.9236289536635067,0.42074953486311684,0.66310800035439,0.6724550367679631,0.5841233277221582
B00004RDE2,24.41,99560.0,Norpro,Kitchen & Dining,Colanders,1.0,5.0,1369267200.0,0.42757154248250195,0.14290777000088595,0.33932843093824755,0.6724550367679631,0.5945335341543369
B00004RDE5,34.42,46080.0,Norpro,Kitchen & Dining,Colanders,3.0,5.0,1269561600.0,0.31726765305218396,0.2783733498715336,0.7946309914060423,0.6724550367679631,0.18060600691060513
B00004RDE6,30.8,8125.0,Norpro,Kitchen & Dining,Colanders,3.0,5.0,1396396800.0,0.3397271196952246,0.65633029148578,0.7946309914060423,0.6724550367679631,0.9303623637813414
B00004RDEA,20.42,17628.0,Norpro,Kitchen & Dining,Cups,2.0,4.5,1358553600.0,0.48064144591122526,0.48569150349960133,0.66310800035439,0.1886240808009214,0.4760343758306016
B00004RDEJ,20.46,49140.0,Norpro,Kitchen & Dining,Stockpots,1.0,4.0,1353628800.0,0.48050854965889966,0.26490652963586425,0.33932843093824755,0.06374590236555329,0.4175600248073004
B00004RDF0,699.0,34745.0,Musso,Kitchen & Dining,Ice Cream Machines,3.0,5.0,1361664000.0,0.0015061575263577431,0.3402144059537521,0.7946309914060423,0.6724550367679631,0.5069549038717108
B00004RDF3,12.98,9711.0,Prepworks from Progressive,Kitchen & Dining,Butter Warmers,2.0,5.0,1231977600.0,0.6840613094710729,0.6191193408345885,0.66310800035439,0.6724550367679631,0.14459112253034465
B00004RDFG,16.5,9458.0,Progressive International,Kitchen & Dining,Rice Cookers,1.0,4.0,1399852800.0,0.5803136351554886,0.6247895809338176,0.33932843093824755,0.06374590236555329,0.9579161867635333
B00004RDFH,10.95,1000.0,Prepworks from Progressive,Kitchen & Dining,Mandolines & Slicers,4.0,4.5,1387584000.0,0.7474528218304244,0.9293877912642864,0.8615221050766368,0.1886240808009214,0.8126605829715602
B00004RDFR,19.57,59519.0,Prepworks from Progressive,Kitchen & Dining,Peelers,2.0,4.5,1126224000.0,0.5147957827589262,0.22623372020909005,0.66310800035439,0.1886240808009214,0.11375919199078587
B00004RFIX,10.66,21076.0,Amco,Kitchen & Dining,Trivets,1.0,4.0,1385337600.0,0.7542305306990342,0.4446708602817401,0.33932843093824755,0.06374590236555329,0.7743864623017631
B00004RFJ4,7.64,21124.0,Amco,Kitchen & Dining,Spatulas,3.0,5.0,1327708800.0,0.8658190839018339,0.4435190927615841,0.7946309914060423,0.6724550367679631,0.3008771152653495
B00004RFJ5,6.49,13920.0,Amco,Kitchen & Dining,Spatulas,1.0,4.0,1351036800.0,0.907770000885975,0.5434570745104987,0.33932843093824755,0.06374590236555329,0.402144059537521
B00004RFJ7,8.38,50781.0,Amco,Kitchen & Dining,Tongs,0.0,5.0,970531200.0,0.8366705058917339,0.258438912022681,0.05236112341631966,0.6724550367679631,0.05240542216709489
B00004RFJR,17.99,28503.0,Amco,Kitchen & Dining,Splatter Screens,3.0,5.0,1383350400.0,0.5461149995570125,0.37919730663595286,0.7946309914060423,0.6724550367679631,0.7453707805439886
B00004RFJU,6.62,45065.0,Amco,Kitchen & Dining,Meat & Carving Forks,1.0,5.0,1361145600.0,0.9039160095685301,0.28333480995835914,0.33932843093824755,0.6724550367679631,0.5011074687693807
B00004RFK7,59.95,21317.0,Farberware,Kitchen & Dining,Stockpots,1.0,4.0,1228262400.0,0.19243377336759104,0.44112696021972175,0.33932843093824755,0.06374590236555329,0.14047133870824843
